batch_size,p95_latency_total_ms,p95_latency_per_sample_ms,mean_latency_per_sample_ms,throughput_samples_per_sec,memory_max_mb,memory_mean_mb
1,381.3740372657776,381.3740372657776,360.85106134414673,2.7712264341833026,0.015625,-0.00048828125
1,440.41115045547485,440.41115045547485,384.457802772522,2.601065689884529,0.01171875,0.0
2,903.6823749542235,451.84118747711176,370.8111971616745,2.6967901931073506,0.015625,-0.00458984375
4,1648.7420916557312,412.1855229139328,371.18578404188156,2.6940686928009296,0.01171875,0.0001953125
8,3357.120788097381,419.64009851217264,373.19400161504745,2.6795714713322427,0.5625,0.0021484375
